"Region","Location","Rep","Block","Hybrid","GY"
"TR","E14",2,11,"G22",3.87
"TR","E14",2,12,"G33",4.26
"TR","E14",2,8,"G32",4.74
"TR","E14",2,7,"G10",6.45
"TR","E14",2,7,"G36",5.1
"TR","E14",2,9,"G14",6.18
"TR","E14",2,9,"G4",8.36
"TR","E14",2,10,"G1",9.18
"TR","E14",2,10,"G3",5.99
"TR","E14",2,12,"G2",5.71
"TR","E15",1,3,"G9",13.7
"TR","E15",1,6,"G20",11.84
"TR","E15",1,5,"G34",13.28
"TR","E15",1,4,"G18",13.26
"TR","E15",1,6,"G30",10.75
"TR","E15",1,5,"G27",11.71
"TR","E15",1,5,"G29",12.01
"TR","E15",1,4,"G26",12.42
"TR","E15",1,3,"G15",12.69
"TR","E15",1,2,"G19",10.69
"TR","E15",1,1,"G5",9.74
"TR","E15",1,4,"G16",11.92
"TR","E15",1,1,"G6",11.31
"TR","E15",1,3,"G17",10.54
"TR","E15",1,2,"G23",11.38
"TR","E15",1,6,"G31",11.24
"TR","E15",1,3,"G12",11.08
"TR","E15",1,5,"G28",11.02
"TR","E15",1,2,"G13",13.71
"TR","E15",1,5,"G24",10.22
"TR","E15",1,5,"G25",12.96
"TR","E15",1,4,"G11",13.67
"TR","E15",1,1,"G21",11.05
"TR","E15",1,4,"G35",11.62
"TR","E15",1,2,"G7",13.49
"TR","E15",1,1,"G8",12.59
"TR","E15",1,1,"G22",13.1
"TR","E15",1,6,"G33",10.81
"TR","E15",1,6,"G32",11.2
"TR","E15",1,3,"G10",9.76
"TR","E15",1,1,"G36",10.43
"TR","E15",1,2,"G14",9.88
"TR","E15",1,2,"G1",11.89
"TR","E15",1,3,"G2",11.6
"TR","E15",1,4,"G4",10.55
"TR","E15",1,6,"G3",10.87
"TR","E15",2,9,"G9",14.62
"TR","E15",2,11,"G20",12.69
"TR","E15",2,8,"G34",12.21
"TR","E15",2,10,"G18",12.56
"TR","E15",2,9,"G30",12.38
"TR","E15",2,11,"G27",11.6
"TR","E15",2,7,"G29",11.96
"TR","E15",2,11,"G26",10.15
"TR","E15",2,8,"G15",11.58
"TR","E15",2,11,"G19",11.09
"TR","E15",2,12,"G5",11.88
"TR","E15",2,7,"G16",11.15
"TR","E15",2,9,"G6",11.49
"TR","E15",2,11,"G17",11.57
"TR","E15",2,7,"G23",12.18
"TR","E15",2,7,"G31",11.48
"TR","E15",2,10,"G12",12.54
"TR","E15",2,12,"G28",13.14
"TR","E15",2,12,"G13",12.84
"TR","E15",2,9,"G24",12.55
"TR","E15",2,10,"G25",11.16
"TR","E15",2,8,"G11",13.41
"TR","E15",2,8,"G21",11.91
"TR","E15",2,12,"G35",12.11
"TR","E15",2,8,"G7",13.85
"TR","E15",2,10,"G8",13.68
"TR","E15",2,11,"G22",11.91
"TR","E15",2,12,"G33",10.82
"TR","E15",2,8,"G32",10.94
"TR","E15",2,7,"G10",9.97
"TR","E15",2,7,"G36",10.7
"TR","E15",2,9,"G14",10.95
"TR","E15",2,9,"G4",11.07
"TR","E15",2,10,"G1",11.77
"TR","E15",2,10,"G3",11.71
"TR","E15",2,12,"G2",11.09
"TA","E6",1,3,"G9",7.37
"TA","E6",1,6,"G20",7.93
"TA","E6",1,5,"G34",7.41
"TA","E6",1,4,"G18",6.72
"TA","E6",1,6,"G30",8.04
"TA","E6",1,5,"G27",5.68
"TA","E6",1,5,"G29",4.54
"TA","E6",1,4,"G26",3.41
"TA","E6",1,3,"G15",5.96
"TA","E6",1,2,"G19",5.56
"TA","E6",1,1,"G5",4.79
"TA","E6",1,4,"G16",5.13
"TA","E6",1,1,"G6",7.22
"TA","E6",1,3,"G17",5.89
"TA","E6",1,2,"G23",4.87
"TA","E6",1,6,"G31",5.66
"TA","E6",1,3,"G12",7.19
"TA","E6",1,5,"G28",6.15
"TA","E6",1,2,"G13",8.74
"TA","E6",1,5,"G24",7.2
"TA","E6",1,5,"G25",6.71
"TA","E6",1,4,"G11",7.89
"TA","E6",1,1,"G21",7.99
"TA","E6",1,4,"G35",8.49
"TA","E6",1,2,"G7",4.59
"TA","E6",1,1,"G8",5.82
"TA","E6",1,1,"G22",6.14
"TA","E6",1,6,"G33",5.87
"TA","E6",1,6,"G32",6.64
"TA","E6",1,3,"G10",6.28
"TA","E6",1,1,"G36",5.61
"TA","E6",1,2,"G14",9.49
"TA","E6",1,2,"G1",6.06
"TA","E6",1,3,"G2",6.16
"TA","E6",1,4,"G4",5.81
"TA","E6",1,6,"G3",4.72
"TA","E6",2,9,"G9",7.41
"TA","E6",2,11,"G20",7.85
"TA","E6",2,8,"G34",4.88
"TA","E6",2,10,"G18",6.16
"TA","E6",2,9,"G30",5.1
"TA","E6",2,11,"G27",7.47
"TA","E6",2,7,"G29",7.34
"TA","E6",2,11,"G26",6.35
"TA","E6",2,8,"G15",7.32
"TA","E6",2,11,"G19",5.56
"TA","E6",2,12,"G5",5.53
"TA","E6",2,7,"G16",7.62
"TA","E6",2,9,"G6",6.69
"TA","E6",2,11,"G17",5.89
"TA","E6",2,7,"G23",5.54
"TA","E6",2,7,"G31",5.66
"TA","E6",2,10,"G12",7.19
"TA","E6",2,12,"G28",7.27
"TA","E6",2,12,"G13",8.08
"TA","E6",2,9,"G24",7.38
"TA","E6",2,10,"G25",6.71
"TA","E6",2,8,"G11",6.77
"TA","E6",2,8,"G21",6.77
"TA","E6",2,12,"G35",5.89
"TA","E6",2,8,"G7",6.58
"TA","E6",2,10,"G8",8.15
"TA","E6",2,11,"G22",6.34
"TA","E6",2,12,"G33",7.72
"TA","E6",2,8,"G32",7.06
"TA","E6",2,7,"G10",6.28
"TA","E6",2,7,"G36",6.26
"TA","E6",2,9,"G14",7.31
"TA","E6",2,9,"G4",6.06
"TA","E6",2,10,"G1",7.03
"TA","E6",2,10,"G3",6.11
"TA","E6",2,12,"G2",5.81
"TR","E16",1,3,"G9",7.77
"TR","E16",1,6,"G20",7.55
"TR","E16",1,5,"G34",9.58
"TR","E16",1,4,"G18",8.02
"TR","E16",1,6,"G30",8.14
"TR","E16",1,5,"G27",10.49
"TR","E16",1,5,"G29",8.93
"TR","E16",1,4,"G26",9.31
"TR","E16",1,3,"G15",8.36
"TR","E16",1,2,"G19",9.25
"TR","E16",1,1,"G5",8.09
"TR","E16",1,4,"G16",8.95
"TR","E16",1,1,"G6",6.2
"TR","E16",1,3,"G17",8.86
"TR","E16",1,2,"G23",7.23
"TR","E16",1,6,"G31",6.55
"TR","E16",1,3,"G12",9.94
"TR","E16",1,5,"G28",7.67
"TR","E16",1,2,"G13",5.94
"TR","E16",1,5,"G24",6.69
"TR","E16",1,5,"G25",9.94
"TR","E16",1,4,"G11",8.91
"TR","E16",1,1,"G21",9.61
"TR","E16",1,4,"G35",10.15
"TR","E16",1,2,"G7",10.08
"TR","E16",1,1,"G8",8.24
"TR","E16",1,1,"G22",9.54
"TR","E16",1,6,"G33",6.04
"TR","E16",1,6,"G32",9.3
"TR","E16",1,3,"G10",9.15
"TR","E16",1,1,"G36",7.67
"TR","E16",1,2,"G14",7.03
"TR","E16",1,2,"G1",11.16
"TR","E16",1,3,"G2",8.97
"TR","E16",1,4,"G4",8.78
"TR","E16",1,6,"G3",9.86
"TR","E16",2,9,"G9",8.44
"TR","E16",2,11,"G20",7.54
"TR","E16",2,8,"G34",9.27
"TR","E16",2,10,"G18",5.52
"TR","E16",2,9,"G30",10.33
"TR","E16",2,11,"G27",9.14
"TR","E16",2,7,"G29",7.2
"TR","E16",2,11,"G26",6.58
"TR","E16",2,8,"G15",7.93
"TR","E16",2,11,"G19",5.7
"TR","E16",2,12,"G5",8.23
"TR","E16",2,7,"G16",6.28
"TR","E16",2,9,"G6",9.45
"TR","E16",2,11,"G17",6.57
"TR","E16",2,7,"G23",7.67
